origin,destination,path
Абакан,Нижневартовск,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Тюмень — Сургут — Нижневартовск
Абакан,Нижний Новгород,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Набережные Челны — Казань — Чебоксары — Нижний Новгород
Абакан,Нижний Новгород,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Тюмень — Екатеринбург — Набережные Челны — Казань — Чебоксары — Нижний Новгород
Абакан,Нижний Новгород,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Уфа — Набережные Челны — Казань — Чебоксары — Нижний Новгород
Абакан,Нижний Новгород,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Курган — Челябинск — Уфа — Набережные Челны — Казань — Чебоксары — Нижний Новгород
Абакан,Новокузнецк,Абакан — Красноярск — Кемерово — Новокузнецк
Абакан,Новосибирск,Абакан — Красноярск — Кемерово — Новосибирск
Абакан,Новый Уренгой,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Сургут — Новый Уренгой
Абакан,Новый Уренгой,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Тюмень — Сургут — Новый Уренгой
Абакан,Омск,Абакан — Красноярск — Кемерово — Новосибирск — Омск
Абакан,Омск,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Омск
Абакан,Оренбург,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Уфа — Тольятти — Оренбург
Абакан,Оренбург,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Тюмень — Екатеринбург — Уфа — Тольятти — Оренбург
Абакан,Оренбург,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Курган — Челябинск — Уфа — Тольятти — Оренбург
Абакан,Оренбург,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Пермь — Киров — Ярославль — Москва — Рязань — Пенза — Тольятти — Оренбург
Абакан,Орск,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Уфа — Тольятти — Оренбург — Орск
Абакан,Орск,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Тюмень — Екатеринбург — Уфа — Тольятти — Оренбург — Орск
Абакан,Орск,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Курган — Челябинск — Уфа — Тольятти — Оренбург — Орск
Абакан,Орск,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Пермь — Киров — Ярославль — Москва — Рязань — Пенза — Тольятти — Оренбург — Орск
Абакан,Пенза,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Уфа — Тольятти — Пенза
Абакан,Пенза,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Тюмень — Екатеринбург — Уфа — Тольятти — Пенза
Абакан,Пенза,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Курган — Челябинск — Уфа — Тольятти — Пенза
Абакан,Пенза,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Пермь — Киров — Ярославль — Москва — Рязань — Пенза
